id;name;price;picture_url;faction;vendu
ALT_CORE_B_MU_12_U_2651;Fille d'Yggdrasil;15;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_12/UNIQUE/JPG/fr_FR/e12ce0b354efaa85484dddcd0bb92f46.jpg;muna;0
ALT_CORE_B_MU_20_U_2102;Pignon Pugnace;75;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_20/UNIQUE/JPG/fr_FR/a62c4454fe48d824227db74e23cc91ba.jpg;lyra;0
ALT_CORE_B_OR_04_U_1257;Héraut de Papier;110;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_04/UNIQUE/JPG/fr_FR/6e0765751eaedfa2098cf9b81a8cf376.jpg;ordis;0
ALT_CORE_B_OR_05_U_5528;Troupière Ordis;130;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_05/UNIQUE/JPG/fr_FR/c6399ba4e8031670b6dd43c163d79169.jpg;ordis;0
ALT_CORE_B_OR_11_U_2029;Ozma;23;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_11/UNIQUE/JPG/fr_FR/7f584362f06c4688404b1bce4e4d3a52.jpg;bravos;0
ALT_CORE_B_OR_11_U_5732;Ozma;20;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_11/UNIQUE/JPG/fr_FR/4d07bfd232085c020dedc6dd9a7652d3.jpg;bravos;0
ALT_CORE_B_OR_14_U_1769;Espionne Ordis;80;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_14/UNIQUE/JPG/fr_FR/0131a8913e963af039e4c31310c1b80a.jpg;bravos;0
ALT_CORE_B_OR_14_U_5314;Espionne Ordis;50;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_14/UNIQUE/JPG/fr_FR/0ff2318de244aeb3d28b6196ea6f15a8.jpg;bravos;0
ALT_CORE_B_OR_14_U_979;Espionne Ordis;14;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_OR_14/UNIQUE/JPG/fr_FR/5dcb9797ad8e90ccfc62cbd94f09e46d.jpg;ordis;0
ALT_CORE_B_YZ_07_U_1988;Mage-Danseur du Kadigir;35;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_YZ_07/UNIQUE/JPG/fr_FR/fe9dad1e39d491f369b3dfa174d3a569.jpg;yzmir;0
